COMMITTER,AVG_DURATION,AVG_LINES_ADDED,AVG_LINES_REMOVED,COUNT_REFACTS,COUNT_SOLVED,FILES_CHANGED,FIXED_ISSUES,INDUCED_ISSUES,COMMIT_HASH,PROJECT_ID
A. J. David Bosschaert,0.0,14.524154380501235,4.186322158122248,0.4054726368159204,0.0,3.4228855721393034,0.0,0.0,402,1
Abraham Fine,0.0,8.84375,3.16875,2.625,0.0,3.375,0.0,0.0,8,1
Adam Nichols,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1,1
Adam Wojtuniak,0.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1
Aditya Agarwal,0.0,13.329990842490842,4.546024114774116,0.0,0.0,2.3541666666666665,0.0,0.0,48,1
Adrian Crum,0.0,17.36785714285714,3.492857142857143,0.125,0.0,3.25,0.0,0.0,8,2
Adrian Nistor,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1,1
Alan Gates,0.0,13.735944992152927,4.509534658937344,0.0,0.0,162.34375,0.0,0.0,32,1
Alex Karasulu,0.0,16.854403902975328,2.785901188758331,0.0,0.0,5.222222222222222,0.0,0.0,45,1
Alexander Shraer,0.0,11.329382055852644,4.5085858585858585,2.1333333333333333,0.0,6.4,0.0,0.0,15,1
Alfred Nathaniel,0.0,6.931209150326798,1.49156162464986,0.0,0.0,1.9705882352941178,0.0,0.0,68,1
Amareshwari Sri Ramadasu,0.0,8.220889450056116,3.983978675645342,0.0,0.0,10.0,0.0,0.0,22,1
Andor Molnar,0.0,12.554254037768324,2.2180849408692698,0.5625,0.0,31.25,0.0,0.0,16,1
Andreas Hartmann,0.0,7.516371292106586,5.860741892911011,0.16666666666666666,0.0,5.0,0.0,0.0,12,1
Andreas Hochsteger,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
Andrei Dulvac,0.0,22.6969696969697,3.1818181818181817,0.3333333333333333,0.0,15.0,0.0,0.0,3,1
Andrew Kornev,0.0,16.908152533740772,5.718959765724472,0.2823529411764706,0.0,3.2470588235294118,0.0,0.0,85,1
Andrew Savory,0.0,7.401960784313725,3.3137254901960786,0.0,0.0,1.7058823529411764,0.0,0.0,17,1
Andrew Williams,0.0,1.5,1.25,0.0,0.0,4.0,0.0,0.0,1,1
Andrus Adamchik,0.0,12.502514645466384,4.319098797266673,0.0,0.0,36.13475177304964,0.0,0.0,141,1
Anthony Collen,0.0,9.295169082125604,2.7753623188405796,0.0,0.0,2.260869565217391,0.0,0.0,46,1
Antoine Levy-Lambert,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1,1
Antonio Gallardo Rivera,0.0,6.059644501617439,4.033132204775022,0.036585365853658534,0.0,7.2229965156794425,0.0,0.0,574,1
Antonio Petrelli,0.0,19.12167300380228,17.684410646387832,0.0,0.0,263.0,0.0,0.0,1,1
Ard Schrijvers,0.0,44.0,0.5,0.0,0.0,1.0,0.0,0.0,2,1
Aristedes Maniatis,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
Arje Cahn,0.0,28.5,1.5,0.0,0.0,1.0,0.0,0.0,2,1
Arjun Panday,0.0,5.00304761904762,3.2462142857142857,0.0,0.0,2.64,0.0,0.0,50,1
Arron Claude Bates,0.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
Arun Thomas,0.0,4.0,0.5,0.0,0.0,2.0,0.0,0.0,1,1
Asankha Chamath Perera,0.0,10.605555555555554,4.983333333333333,0.4666666666666667,0.0,1.8333333333333333,0.0,0.0,30,2
Ashish Thusoo,0.0,10.11576103307026,3.2255591172006906,0.0,0.0,11.666666666666666,0.0,0.0,51,1
Ashutosh Chauhan,0.0,12.99108298160127,3.959893990387106,0.0,0.0,15.58667972575906,0.0,0.0,1021,1
Axl Mattheus,0.0,9.847237204842383,4.878940429102242,0.0,0.0,5.814814814814815,0.0,0.0,27,1
Bella Robinson,0.0,14.165095398428734,4.216863075196408,0.21212121212121213,0.0,2.9696969696969697,0.0,0.0,33,1
Benedikt Ritter,26210.01076114196,9.417736163248057,3.5970989187141087,1.1016166281755195,0.10854503464203233,6.713625866050808,0.009237875288683603,0.0,433,14
Benjamin Reed,0.0,14.273542214275015,4.426838152653344,1.1041666666666667,0.0,7.305555555555555,0.0,0.0,144,1
Benjamin Speakmon,0.0,12.989795918367347,6.785714285714286,0.0,0.0,1.183673469387755,0.0,0.0,49,1
Benson Margulies,0.0,7.502314814814814,2.435185185185185,0.0,0.0,1.5833333333333333,0.0,0.0,36,2
Berin Lautenbach,0.0,16.245512238636344,3.2053962195136134,0.025,0.0,5.496153846153846,0.0,0.0,520,1
Berin Loritsch,0.0,14.581388888888888,3.4318055555555556,0.03333333333333333,0.0,2.8333333333333335,0.0,0.0,30,1
